MM/DD/YYYY,ID,YEAR,MONTH,DAY,PRCP,PRCP_FLAGS,SNOW,SNOW_FLAGS
2011-03-23,US1CALA0030,2011,03,23,0.0,__N,0.0,__N
2011-03-24,US1CALA0030,2011,03,24,102.0,__N,nan,nan
2011-03-25,US1CALA0030,2011,03,25,99.0,__N,nan,nan
2011-03-26,US1CALA0030,2011,03,26,0.0,__N,0.0,__N
2011-03-27,US1CALA0030,2011,03,27,33.0,__N,nan,nan
2011-03-28,US1CALA0030,2011,03,28,0.0,T_N,nan,nan
2011-03-29,US1CALA0030,2011,03,29,0.0,__N,0.0,__N
2011-03-30,US1CALA0030,2011,03,30,0.0,__N,0.0,__N
2011-03-31,US1CALA0030,2011,03,31,0.0,__N,0.0,__N
2011-04-01,US1CALA0030,2011,04,1,0.0,__N,0.0,__N
2011-04-02,US1CALA0030,2011,04,2,0.0,__N,0.0,__N
2011-04-03,US1CALA0030,2011,04,3,0.0,__N,0.0,__N
2011-04-04,US1CALA0030,2011,04,4,0.0,__N,0.0,__N
2011-04-05,US1CALA0030,2011,04,5,0.0,__N,0.0,__N
2011-04-07,US1CALA0030,2011,04,7,0.0,__N,0.0,__N
2011-04-08,US1CALA0030,2011,04,8,0.0,__N,0.0,__N
2011-04-09,US1CALA0030,2011,04,9,0.0,__N,0.0,__N
2011-04-11,US1CALA0030,2011,04,11,0.0,__N,0.0,__N
2011-04-12,US1CALA0030,2011,04,12,0.0,__N,0.0,__N
2011-04-15,US1CALA0030,2011,04,15,0.0,__N,0.0,__N
2011-04-16,US1CALA0030,2011,04,16,0.0,__N,0.0,__N
2011-04-24,US1CALA0030,2011,04,24,3.0,__N,nan,nan
2011-04-25,US1CALA0030,2011,04,25,0.0,__N,0.0,__N
2011-04-26,US1CALA0030,2011,04,26,0.0,__N,0.0,__N
2011-04-27,US1CALA0030,2011,04,27,0.0,__N,0.0,__N
2011-04-28,US1CALA0030,2011,04,28,0.0,__N,0.0,__N
2011-04-29,US1CALA0030,2011,04,29,0.0,__N,0.0,__N
2011-04-30,US1CALA0030,2011,04,30,0.0,__N,0.0,__N
2011-05-01,US1CALA0030,2011,05,1,0.0,__N,0.0,__N
2011-05-03,US1CALA0030,2011,05,3,0.0,__N,0.0,__N
2011-05-04,US1CALA0030,2011,05,4,0.0,__N,0.0,__N
2011-05-05,US1CALA0030,2011,05,5,0.0,__N,0.0,__N
2011-05-10,US1CALA0030,2011,05,10,10.0,__N,nan,nan
2011-05-12,US1CALA0030,2011,05,12,0.0,__N,0.0,__N
2011-05-15,US1CALA0030,2011,05,15,15.0,__N,nan,nan
2011-05-17,US1CALA0030,2011,05,17,41.0,__N,nan,nan
2011-06-02,US1CALA0030,2011,06,2,0.0,__N,0.0,__N
2011-06-05,US1CALA0030,2011,06,5,0.0,__N,0.0,__N
2011-06-08,US1CALA0030,2011,06,8,0.0,__N,0.0,__N
2011-06-12,US1CALA0030,2011,06,12,5.0,__N,nan,nan
2011-06-16,US1CALA0030,2011,06,16,0.0,__N,0.0,__N
2011-06-17,US1CALA0030,2011,06,17,13.0,__N,nan,nan
2011-06-19,US1CALA0030,2011,06,19,3.0,__N,nan,nan
2011-06-24,US1CALA0030,2011,06,24,0.0,__N,0.0,__N
2011-07-05,US1CALA0030,2011,07,5,0.0,__N,0.0,__N
2011-09-08,US1CALA0030,2011,09,8,0.0,__N,0.0,__N
2011-09-11,US1CALA0030,2011,09,11,10.0,__N,nan,nan
2011-09-12,US1CALA0030,2011,09,12,0.0,__N,0.0,__N
2011-09-13,US1CALA0030,2011,09,13,0.0,__N,0.0,__N
2011-09-15,US1CALA0030,2011,09,15,0.0,__N,0.0,__N
2011-09-16,US1CALA0030,2011,09,16,0.0,__N,0.0,__N
2011-09-24,US1CALA0030,2011,09,24,0.0,__N,0.0,__N
2011-10-26,US1CALA0030,2011,10,26,10.0,__N,nan,nan
2011-11-04,US1CALA0030,2011,11,4,38.0,__N,nan,nan
2011-11-07,US1CALA0030,2011,11,7,15.0,__N,nan,nan
2011-11-12,US1CALA0030,2011,11,12,76.0,__N,nan,nan
2011-11-13,US1CALA0030,2011,11,13,5.0,__N,nan,nan
2011-11-20,US1CALA0030,2011,11,20,5.0,__N,nan,nan
2011-11-21,US1CALA0030,2011,11,21,343.0,__N,nan,nan
2012-01-21,US1CALA0030,2012,01,21,84.0,__N,nan,nan
2012-01-22,US1CALA0030,2012,01,22,3.0,__N,nan,nan
2012-01-23,US1CALA0030,2012,01,23,41.0,__N,nan,nan
2012-01-24,US1CALA0030,2012,01,24,124.0,__N,nan,nan
2012-01-25,US1CALA0030,2012,01,25,0.0,__N,0.0,__N
2012-01-27,US1CALA0030,2012,01,27,0.0,__N,0.0,__N
2012-02-08,US1CALA0030,2012,02,8,10.0,__N,nan,nan
2012-03-17,US1CALA0030,2012,03,17,76.0,__N,nan,nan
2012-03-26,US1CALA0030,2012,03,26,432.0,__N,nan,nan
2012-04-11,US1CALA0030,2012,04,11,315.0,__N,nan,nan
2012-04-12,US1CALA0030,2012,04,12,127.0,__N,nan,nan
2012-04-13,US1CALA0030,2012,04,13,13.0,__N,nan,nan
2012-04-14,US1CALA0030,2012,04,14,168.0,__N,nan,nan
2014-09-02,US1CALA0030,2014,09,2,0.0,__N,nan,nan
2014-09-03,US1CALA0030,2014,09,3,0.0,__N,nan,nan
2014-09-04,US1CALA0030,2014,09,4,0.0,__N,nan,nan
2014-09-05,US1CALA0030,2014,09,5,0.0,__N,nan,nan
2014-09-06,US1CALA0030,2014,09,6,0.0,__N,nan,nan
2014-09-07,US1CALA0030,2014,09,7,0.0,__N,nan,nan
2014-09-08,US1CALA0030,2014,09,8,5.0,__N,nan,nan
2014-09-09,US1CALA0030,2014,09,9,0.0,__N,nan,nan
2014-09-10,US1CALA0030,2014,09,10,0.0,__N,nan,nan
2014-09-11,US1CALA0030,2014,09,11,0.0,__N,nan,nan
2014-09-14,US1CALA0030,2014,09,14,0.0,__N,nan,nan
2014-09-15,US1CALA0030,2014,09,15,0.0,__N,nan,nan
2014-09-18,US1CALA0030,2014,09,18,0.0,__N,nan,nan
2014-09-22,US1CALA0030,2014,09,22,0.0,__N,nan,nan
2014-09-28,US1CALA0030,2014,09,28,0.0,__N,nan,nan
2014-09-30,US1CALA0030,2014,09,30,0.0,__N,nan,nan
2014-11-01,US1CALA0030,2014,11,1,127.0,__N,nan,nan
2014-11-07,US1CALA0030,2014,11,7,0.0,__N,nan,nan
2014-12-01,US1CALA0030,2014,12,1,320.0,__N,nan,nan
2014-12-02,US1CALA0030,2014,12,2,18.0,__N,nan,nan
2014-12-03,US1CALA0030,2014,12,3,353.0,__N,nan,nan
2014-12-04,US1CALA0030,2014,12,4,25.0,__N,nan,nan
2014-12-12,US1CALA0030,2014,12,12,406.0,__N,nan,nan
2014-12-13,US1CALA0030,2014,12,13,41.0,__N,nan,nan
2014-12-17,US1CALA0030,2014,12,17,193.0,__N,nan,nan
2014-12-21,US1CALA0030,2014,12,21,0.0,__N,nan,nan
2014-12-22,US1CALA0030,2014,12,22,0.0,__N,nan,nan
2014-12-23,US1CALA0030,2014,12,23,0.0,__N,nan,nan
2014-12-24,US1CALA0030,2014,12,24,0.0,__N,nan,nan
2014-12-25,US1CALA0030,2014,12,25,0.0,__N,nan,nan
2014-12-26,US1CALA0030,2014,12,26,0.0,__N,nan,nan
2014-12-27,US1CALA0030,2014,12,27,0.0,__N,nan,nan
2014-12-28,US1CALA0030,2014,12,28,0.0,__N,nan,nan
2014-12-29,US1CALA0030,2014,12,29,0.0,__N,nan,nan
2014-12-30,US1CALA0030,2014,12,30,0.0,__N,nan,nan
2014-12-31,US1CALA0030,2014,12,31,8.0,__N,nan,nan
2015-01-01,US1CALA0030,2015,01,1,0.0,__N,nan,nan
2015-01-02,US1CALA0030,2015,01,2,0.0,__N,nan,nan
2015-01-10,US1CALA0030,2015,01,10,0.0,__N,nan,nan
2015-01-11,US1CALA0030,2015,01,11,254.0,__N,nan,nan
2015-01-27,US1CALA0030,2015,01,27,38.0,__N,nan,nan
2015-01-28,US1CALA0030,2015,01,28,0.0,__N,nan,nan
2015-01-29,US1CALA0030,2015,01,29,3.0,__N,nan,nan
2015-01-30,US1CALA0030,2015,01,30,10.0,__N,nan,nan
2015-05-15,US1CALA0030,2015,05,15,74.0,__N,nan,nan
2015-12-20,US1CALA0030,2015,12,20,69.0,__N,nan,nan
2015-12-22,US1CALA0030,2015,12,22,58.0,__N,nan,nan
2016-01-04,US1CALA0030,2016,01,4,8.0,__N,nan,nan
2016-01-05,US1CALA0030,2016,01,5,56.0,__N,nan,nan
2016-01-06,US1CALA0030,2016,01,6,318.0,__N,nan,nan
2016-01-07,US1CALA0030,2016,01,7,361.0,__N,nan,nan
2016-03-06,US1CALA0030,2016,03,6,234.0,__N,nan,nan
2016-03-07,US1CALA0030,2016,03,7,127.0,__N,nan,nan
2016-12-22,US1CALA0030,2016,12,22,234.0,__N,nan,nan
2017-02-18,US1CALA0030,2017,02,18,1105.0,__N,nan,nan
